index,id,News Headline Title,Label 1,Label 2a,Label 2b,Label 3,,Label 4a,Label 4b,Label 4c,Label 5,Label 6
,,,Sensational/Objective,Victim Reference,Villain Reference,Villain,Victim,Effect Frames,Source Frame,Context Frame,War/Peace,Relevancy?
666,c11b929b4fbb8a35079b636a20d3d840e12787d77dc456d2e118c818edde4073,"Rep. Rashida Tlaib, critic of Israel, silent on Hamas terror attacks as Israeli death toll climbs over 600",O,Directly,Directly,Hamas,Israel,VE,ES,WC,War,Relevant
646,725031ac22b99019de1e13e6b28470aa87d89d86a78afbaf550f9cc0df71cffb,Negotiators push to extend Israel-Hamas cease-fire for second time as final hostage release looms,O,None,None,None,None,IE,PS,BC,Peace,Relevant
310,f77e751af00fc9a5a3fa0e604398d52f55bcfd24f7624d4cc60ed6452b772c53,Can the US-led maritime force stop Yemen’s Houthi attacks during Gaza war?,O,None,None,None,None,VE,None,BC,None,Relevant
724,39c7d311e27821bccfa4b5a286075d7855f138c0937c91dec7b678cf3f58ba42,Anti-Israel voters warn Harris won’t get their vote without a cease-fire: ‘This is our leverage’,S,None,None,None,None,IE,PS,BC,War,Relevant
456,bcf8a85a34a811cd42963f9350d38f35a34c59a23ca4a8c90f2aca69069aa609,Palestinian journalists covering Gaza war win UNESCO press freedom prize,O,None,None,None,None,None,PS,BC,Unclear,Relevant
239,c06b1ab7e50e4ed9e3449834d30a61d05be30420149b38b75d34568ffb6cf649,"Palestinian envoy: Israel plans to destroy, displace",S,Directly,Directly,Israel,Palestine,IE,ES,WC,War,Relevant
75,7885fdc3ccac2740c9720c0f31e164ff90fb135e5894c0d00f968390d92e6c22,Israel presents Rafah evacuation plan but UN calls for immediate ceasefire,O,None,Directly,Israel,None,IE,ES,WC,Peace,Relevant
771,f1aebf8ae435d1bcb94e9a0f5f75be72deb735fef47f39419ffc43e43f5bba22,College president tells anti-Israel protesters they aren't entitled to 'take over the whole university',S,None,None,None,None,IE,ES,BC,Unclear,Relevant
628,6cf377dded1a7b783a6fca0a3354a36a3c410dc203e914f084ecc77f789d0cd3,"Hamas terrorists branded Israeli children hostages in case they escaped, relative says",S,Directly,Directly,Hamas,Israel,VE,PS,WC,War,Relevant
68,e2f918f52f941051b71d7140bde58fcb38141212ac810ae74aa286760731d21e,Israel-Gaza war: 'Violent' strikes reported in Gazan city of Rafah,S,Directly,Directly,Israel,Palestine,VE,None,WC,War,Relevant
440,89d4c1c717274594f59ab687a6154761959fba3484baf7cf57e7ba25f4f0ba92,US warship cruising Red Sea shoots down attack drones fired from Yemen,O,None,None,None,None,VE,None,WC,War,Relevant
40,c6abcb40bd17bf6265befe79d854dfe4ebd733de5e6315839806bdf39c5196cb,Anti-Israel agitators descend on DC ahead of Israeli PM Netanyahu's address to Congress,O,Indirectly,Directly,Israel,Palestine,IE,PS,BC,War,Relevant
605,516935ed1b1ef00137f81608b35ea992d23174c311148c1ebdaacf97f3e506ad,Israel-Hamas war: Names revealed of latest Israeli hostages released amid extended cease-fire,O,Directly,Directly,Hamas,Israel,IE,None,WC,Peace,Relevant
386,3ebf175df5a8d06c282b76c9810c4378b9f890d92f8de09454632ca23432556d,"Al Jazeera journalist, cameraman killed in Israeli attack on Gaza",O,Directly,Directly,Israel,Palestine,VE,None,WC,War,Relevant
527,181a7a76a2b0481f11119a9529fd4415226d5cbc140e7ee769cfe507f25dcd24,‘Jai Palestine’: Why an Indian MP invoked Gaza war while taking oath,S,None,None,None,None,IE,ES,BC,Unclear,Relevant
145,72573901d1ec1c5cddf58d7dab8c63cb4cbb6d2c1e3412d7470ebb432e6e653b,US Vice-President Harris presses Israel's Gantz on aid for Gaza,O,None,Directly,Israel,None,None,ES,BC,Peace,Relevant
60,f1c9e087075232519bd179424ca844feba8e5528b5dbef569547457eed42e0dc,Hersh Goldberg-Polin: Gaza hostage's mother pleads for ceasefire deal,O,None,Directly,Palestine,None,IE,PS,WC,Peace,Relevant
252,41c7f91ca804d0fcd889d9bb36f9c7a7c4332221a6fe857b8952e6b4344e7f4d,Sudan war: Threat of invasion in El Fasher leaves people in fear,O,None,None,None,None,None,None,None,Unclear,Irrelevant
319,5c3119458daa97ce3d8081989a3773d04f420ab800a113f390d0bbe5765b8232,Photos: Israel pummels Gaza after Hamas’s unprecedented attack,S,Directly,Directly,Israel,Palestine,VE,None,WC,War,Relevant
549,27af5dd01b6f1985b26d5946a096f19805492a0f94fa1f97f033f34f4ab46637,Palestinian village fears Israel wartime demolitions,O,Directly,Directly,Israel,Palestine,IE,PS,BC,Peace,Relevant
721,5c0e0b476dce358eb215787297a7824c3505371a5daa4b0a06fea4fb1f890d80,"Attacks against churches doubled in 2023, report warns: 'Growing disdain for Christianity'",S,None,None,None,None,VE,None,BC,War,Irrelevant
101,3b9ff1b9f705d3595e3a6efdc8f1115bbfa6b62246d1bf9e35d59d14332311ae,"Tanzanian student in Israel: 'Shift change saved me, but my friends are Hamas hostages'",S,None,Directly,Hamas,None,VE,PS,WC,Peace,Relevant
2,99d6dfb8407ff0bdd26aa72a1655168cbf53c477333f9804ebdbd56d31cb53c9,Who will hold Israel to account for committing war crimes?,S,None,Directly,Israel,None,IE,None,BC,Peace,Relevant
312,0ea87a42bc7760717e9ba8c15c5105363e07862bf1772468f6f257ae91f1ec21,‘War crime’: Israel bombs Gaza church sheltering displaced people,S,Directly,Directly,Israel,Palestine,VE,None,WC,War,Relevant
546,adc3c7a855cc3952d64bed13c1a917768ffbd9cb878f68ac3bdb998c9608f50d,Israel’s war on Gaza triggered a war on free speech in the West,O,Directly,Directly,Israel,Palestine,IE,None,BC,War,Relevant
772,6e117181c996f0e883141b2e7997c614298ba68792b9aed8d891bff6e0613fc2,College students express concerns as they expect anti-Israel protests to return to campus,O,None,None,None,None,IE,PS,BC,Peace,Relevant
499,9e3a571edcf8e39093bc8cbd9b96db70e2d180f0c49bcf3097998ae470bbcfde,Israel’s war on Gaza: Challenging the narrative of a “just” war,S,Directly,Directly,Israel,Palestine,None,None,BC,Peace,Relevant
30,b84e209e9276d697dd14a54050d985958786892b98f8e64834f878882d4a1dd0,College student dedicated to America's Civil War veterans in California 'honors their legacies',O,None,None,None,None,None,PS,None,None,Irrelevant
298,a420b40b6a72556e81af87b2a8d4e9c20eb07b9faca287af329c25a4e24673f4,Hamas warns Israeli invasion of Rafah will ‘torpedo’ truce talks,S,Directly,Directly,Israel,Palestine,IE,ES,WC,War,Relevant
439,6fdecf7cfa0b0c4423c88a24b9249e828fe19221ded2c0b8803d79825f6b4a02,Bombs and viruses: The shadowy history of Israel’s attacks on Iranian soil,S,Indirectly,Directly,Israel,Hamas,IE,None,BC,Unclear,Relevant
661,5576bd2d5b84a24f1eda32e8747eb75747d1398dde7a29366f722fdc9fbe358c,Doctor who walked out of meeting with Biden 'not satisfied' with president's stance on Israel-Hamas war,O,None,None,None,None,IE,PS,BC,Unclear,Relevant
412,6584b1ac36e3a11689a1b1b57612cf010abd5068f78db809e3ba8d831237b1ce,"UN experts demand ceasefire, warn Gaza is ‘running out of time’",S,Directly,None,None,Palestine,VE,ES,BC,Peace,Relevant
674,67a7c45c87029919d7cd82e40bbaeeacd1c3cd3888541f0134d4f53674367548,"Netanyahu calls Mideast conflicts choice between 'blessing or a curse,' warns about Israel's 'long arm'",S,Indirectly,Directly,Israel,Palestine,VE,ES,WC,War,Relevant
596,27f1b822078d9e0b192fcdb32cf9ee2100aa287e04c10a205e29fcd11f43cc08,Protestors unfurl ‘war crimes’ banner on Australian parliament,O,None,None,None,None,IE,PS,None,Unclear,Irrelevant
196,385e8be8ec5a6193ca5563ea734d3f64c5e07391f6577fb7a52adf47a313bc6c,SNP asks PM to call Israeli actions a ‘war crime,O,None,Directly,Israel,None,IE,ES,BC,Peace,Relevant
27,8c434ba195a456181bd589be91f338b28d4f0de46a4d3e4d6c9c733e4eeb6d15,Jerry Seinfeld mocks anti-Israel hecklers during Melbourne show: You 'just gave more money to a Jew',O,None,None,None,None,IE,ES,BC,Unclear,Relevant
787,be07afda6aafa8be748fad5661cd876c997ba6f70344fa43e189208c4d640082,"President Biden tells crowd 'I am a Zionist' at Hanukkah ceremony, condemns silence on antisemitism",S,None,None,None,None,IE,ES,BC,Unclear,Relevant
478,08c88456421a8c375e74112014b52a91d50b100a309db167ce5d9fded7d5d75d,"Columbia, NYU, Yale on the boil over Israel’s war on Gaza: What’s going on?",S,None,None,None,None,IE,PS,BC,Unclear,Relevant
390,db3c464699e6c6a003eb0aa4ed7426a7a1e689295b9a8f4ed85c6832275bd1b4,Iran’s Khamenei warns Israel that bombardment of Gaza could bring response,O,Directly,Directly,Israel,Palestine,VE,ES,BC,War,Relevant
662,6cadb56232a585aef49ba9082f7c445119ae575d0a92c884aa601ec7249e799e,Saudi Arabia switches focus from Israel to Iran to cool tensions following Hamas terrorist attack: report,O,None,Directly,Hamas,None,VE,ES,BC,Peace,Relevant
18,c1d90139df251686ede3497cef3b91a8a82e8f557cf2831d94578c5fd5585b1f,Fetterman reams out NY Times for platforming terrorist propaganda after interview with senior Hamas official,S,None,None,None,None,IE,ES,BC,Unclear,Relevant
50,00e09ff42844b07888f030b5b73490c9387281295be4931b7eb623963be5df46,"Israel-Hamas war: Ceasefire in Gaza chances shrinking, Qatar says",S,Directly,None,None,Palestine,VE,ES,BC,Unclear,Relevant
140,048fd5d209d59e7fd7c7811a379973e15491466d414409610d6957deff40a50d,Hamas hostages: Stories of the people taken from Israel,O,Directly,Directly,Hamas,Israel,IE,None,BC,Peace,Relevant
570,44f82d1b47c24aed8b3eabe8efeb4c270b19091fdadb106d85a07fb1b7d33c9a,Sudan war mediators welcome new pledges on humanitarian access,O,None,None,None,None,IE,PS,None,None,Irrelevant
842,d7dd61bce9b8a1c6473479e744bb4460ebd6c1b030c1e7d193c12b1917ff66a2,Maryland AG reinstates hate crime task force member who claimed Israeli babies murdered by Hamas were 'fake',O,None,None,None,None,IE,ES,BC,War,Relevant
425,5331d0e3203445009a52ad182528e0977ad1c98a661317324a166232b26a4f35,France’s Macron calls for arms sales ban on Israel as Gaza war nears a year,O,None,None,None,None,IE,ES,BC,Peace,Relevant
